reader_id,stop_code,stop_id
7,80214S,
11,80213S,
12,80203S,
13,80204S,
14,80205S,
15,80201S,
16,80212S,
17,80214S,
18,80202S,
19,80208S,
20,80207S,
21,80206S,
22,80210S,
23,80215S,
24,80209S,
25,80216S,
61,80214S,
887,80408S,
888,80407S,
889,80406S,
890,80405S,
891,80404S,
892,80403S,
893,80402S,
894,80401S,
906,80122S,
907,80123S,
908,80124S,
909,80125S,
910,80126S,
911,80127S,
912,80128S,
913,80129S,
914,80130S,
915,80131S,
916,80121S,
921,80132S,
924,80122S,
931,80133S,
932,80134S,
933,80135S,
934,80136S,
935,80137S,
936,80139S,
937,80138S,
